name
joker
dc
Reeve
christopher
nolan
Burton
wayne
richard
donner
lex
tim
clark
keaton
luthor
snyder
loi
john
bale
kent
nicholson
jack
pekar
harvey
dceu
hell
penguin
zod
hank
cinematography
pryor
bane
frank
christian
bat
hackman
malkovich
gadot
jim
giamatti
superman
carrey
gal
miller
schumacher
joel
holland
shane
west
ledger
hank
zack
batman
adam
supermen
w
h
helen
bruce
y
beauty
reeve
reev
Nolan
